2020-12-13 15:12:782 INFO  BasePage :29 - Launching Chrome Browser
2020-12-13 15:12:239 INFO  RegisterPage :37 - Click on sign in button[[ChromeDriver: chrome on WINDOWS (6bc2c57a2d0010f7bab545c313761906)] -> xpath: //div[@class='header_bar-sign_in']//span[contains(text(),'Sign in / sign up')]]
2020-12-13 15:12:878 INFO  RegisterPage :44 - Clicks on create new account link[[ChromeDriver: chrome on WINDOWS (6bc2c57a2d0010f7bab545c313761906)] -> xpath: //a[contains(@class,'popup-button default-popup-button create-account-link')]]
2020-12-13 15:12:183 INFO  RegisterPage :51 - Send email Id to Field[[ChromeDriver: chrome on WINDOWS (6bc2c57a2d0010f7bab545c313761906)] -> xpath: //input[@id='login']]
2020-12-13 15:12:829 INFO  BasePage :29 - Launching Chrome Browser
2020-12-13 15:12:485 INFO  RegisterPage :38 - Click on sign in button[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //div[@class='header_bar-sign_in']//span[contains(text(),'Sign in / sign up')]]
2020-12-13 15:12:97 INFO  RegisterPage :45 - Clicks on create new account link[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //a[contains(@class,'popup-button default-popup-button create-account-link')]]
2020-12-13 15:12:299 INFO  RegisterPage :52 - Send email Id to Field[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //input[@id='login']]
2020-12-13 15:12:658 INFO  RegisterPage :61 - Sends password to the Field[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //input[@id='password']]
2020-12-13 15:12:915 INFO  RegisterPage :69 - Sends password to confirm password field[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //input[@id='password-conf']]
2020-12-13 15:12:139 INFO  RegisterPage :77 - Clicks on Create button[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //div[@class='button submit']//button]
2020-12-13 15:12:457 INFO  RegisterPage :84 - Verify Pop Up Message[[ChromeDriver: chrome on WINDOWS (6160d87dc43cc1d19061cefe7a16a58c)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[3]/div[1]/div[1]/ul[1]]
2020-12-13 15:12:904 INFO  BasePage :29 - Launching Chrome Browser
2020-12-13 15:12:588 INFO  RegisterPage :39 - Click on sign in button[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //div[@class='header_bar-sign_in']//span[contains(text(),'Sign in / sign up')]]
2020-12-13 15:12:105 INFO  RegisterPage :46 - Clicks on create new account link[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //a[contains(@class,'popup-button default-popup-button create-account-link')]]
2020-12-13 15:12:63 INFO  RegisterPage :53 - Send email Id to Field[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //input[@id='login']]
2020-12-13 15:12:345 INFO  RegisterPage :62 - Sends password to the Field[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //input[@id='password']]
2020-12-13 15:12:564 INFO  RegisterPage :70 - Sends password to confirm password field[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //input[@id='password-conf']]
2020-12-13 15:12:752 INFO  RegisterPage :78 - Clicks on Create button[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //div[@class='button submit']//button]
2020-12-13 15:12:21 INFO  RegisterPage :85 - Verify Pop Up Message[[ChromeDriver: chrome on WINDOWS (87672ae610c707866b3f18ca71fbb537)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[3]/div[1]/div[1]/ul[1]]
2020-12-13 15:12:631 INFO  BasePage :29 - Launching Chrome Browser
2020-12-13 15:12:289 INFO  RegisterPage :39 - Click on sign in button[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //div[@class='header_bar-sign_in']//span[contains(text(),'Sign in / sign up')]]
2020-12-13 15:12:975 INFO  RegisterPage :46 - Clicks on create new account link[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //a[contains(@class,'popup-button default-popup-button create-account-link')]]
2020-12-13 15:12:108 INFO  RegisterPage :53 - Send email Id to Field[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //input[@id='login']]
2020-12-13 15:12:364 INFO  RegisterPage :62 - Sends password to the Field[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //input[@id='password']]
2020-12-13 15:12:596 INFO  RegisterPage :70 - Sends password to confirm password field[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //input[@id='password-conf']]
2020-12-13 15:12:785 INFO  RegisterPage :78 - Clicks on Create button[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //div[@class='button submit']//button]
2020-12-13 15:12:331 INFO  RegisterPage :85 - Verify Pop Up Message[[ChromeDriver: chrome on WINDOWS (37fb455f0d620554a21df9a0f80277ec)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[3]/div[1]/div[1]/ul[1]]
2020-12-13 15:12:586 INFO  BasePage :29 - Launching Chrome Browser
